DATE,TOTAL_DAILY_DIFFICULTY,DAILY_DIFFICULTY,STATUS
2022-09-07T00:00:00Z,5.81708088874303e+22,1.22690225385357e+16,Before
2022-09-08T00:00:00Z,5.8248137267047e+22,1.24418997120403e+16,Before
2022-09-09T00:00:00Z,5.83246371421943e+22,1.23547474868838e+16,Before
2022-09-10T00:00:00Z,5.83997099456214e+22,1.24421222551983e+16,Before
2022-09-11T00:00:00Z,5.84743661342632e+22,1.21833864812677e+16,Before
2022-09-12T00:00:00Z,5.85484572792369e+22,1.22900552313564e+16,Before
2022-09-13T00:00:00Z,5.86229916360253e+22,1.23650376672757e+16,Before
2022-09-14T00:00:00Z,5.86965266893612e+22,1.20683480185657e+16,Before
2022-09-15T00:00:00Z,5.874783990058e+22,2.70905607155236e+15,Before
2022-09-16T00:00:00Z,5.87500037165983e+22,0,Before
2022-09-17T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-18T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-19T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-20T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-21T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-22T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-23T00:00:00Z,5.87500037165983e+22,0,Before
2022-09-24T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-25T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-26T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-27T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-28T00:00:00Z,5.87500037165984e+22,0,Before
2022-09-29T00:00:00Z,5.87500037165983e+22,0,Before
2022-09-30T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-01T00:00:00Z,5.87500037165983e+22,0,Before
2022-10-02T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-03T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-04T00:00:00Z,5.87500037165983e+22,0,Before
2022-10-05T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-06T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-07T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-08T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-09T00:00:00Z,5.87500037165984e+22,0,Before
2022-10-10T00:00:00Z,5.87500037165984e+22,0,Before
